Word,Count
<tr><td><code>collapseActionView</code></td><td>8</td><td></td></tr>,2
#ActionBar_itemPadding,2
#Toolbar_titleTextColor,2
#CompoundButton_buttonTint,2
#TextAppearance_android_shadowRadius,2
#ShadowLayout_sl_cornerRadius,2
#Section_indexPrefixes,2
#AppCompatTheme_colorButtonNormal,2
#AppCompatTheme_textAppearanceSearchResultTitle,2
<tr><td><code>large</code></td><td>-4</td><td></td></tr>,2
#ActionBar_hideOnContentScroll,2
#AppCompatTheme_textAppearanceListItemSmall,2
#Toolbar_android_minHeight,2
#CardView_cardMaxElevation,2
#com_facebook_like_view_com_facebook_style,2
#LinearLayoutCompat_android_baselineAligned,2
<tr><td><code>text2</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_actionButtonStyle,2
#com_facebook_like_view_com_facebook_object_id,2
#AppCompatTheme_android_windowIsFloating,2
pit.feat.R.attr#subtitleTextStyle},2
#AppCompatTheme_actionBarItemBackground,2
android:enabled,2
#MenuGroup_android_id,2
<tr><td><code>beginning</code></td><td>1</td><td></td></tr>,2
android.R.attr#popupBackground},2
#LinearLayoutCompat_Layout_android_layout_height,2
pit.feat:contentInsetRight}</code></td><td></td></tr>,2
calling,2
#AppCompatTheme_editTextStyle,2
#SearchView_android_maxWidth,2
#SearchView_android_inputType,2
@param,2
#Toolbar_maxButtonHeight,2
pit.feat.R.attr#contentInsetLeft},2
#Toolbar_navigationContentDescription,2
#AppCompatTheme_listPreferredItemPaddingRight,2
#ActionBar_contentInsetLeft,2
#MenuItem_android_alphabeticShortcut,2
<tr><td><code>top</code></td><td>2</td><td></td></tr>,2
succeeds,2
#Toolbar_title,2
#ActionBar_indeterminateProgressStyle,2
android:minWidth}</code></td><td></td></tr>,2
expand,2
<tr><td><code>intent_activity</code></td><td>8</td><td></td></tr>,2
android.R.attr#minHeight},2
pit.feat.R.attr#title},2
expansion,2
#ListPopupWindow},2
#HTextView},2
#MenuItem_android_enabled,2
android.R.attr#menuCategory},2
#SearchView_voiceIcon,2
<tr><td><code>normal</code></td><td>-3</td><td></td></tr>,2
#MenuView_android_horizontalDivider,2
#ActionBar_subtitle,2
#SectionFeature_featureType,2
#AppCompatTheme_selectableItemBackgroundBorderless,2
#Section_sectionWeight,2
#GlobalSearch_defaultIntentActivity,2
#AppCompatTheme_dividerVertical,2
#Corpus_corpusId,2
<tr><td><code>intent_data_id</code></td><td>5</td><td></td></tr>,2
#AppCompatTheme_colorSwitchThumbNormal,2
#MenuItem_android_title,2
pit.feat.R.attr#splitTrack},1
android:verticalDivider,1
pit.feat:defaultIntentAction}</code></td><td></td></tr>,1
item_view.findViewById(R.id.viewPager_dot2);,1
pit.feat:contentPaddingTop,1
pit.feat:buttonTintMode}</code></td><td></td></tr>,1
